,texts
443,"Однажды я познакомилась с симпатичным и весёлым парнем. Любовь с первого взгляда. Но он контролировал даже не каждый мой шаг, а каждый вздох (всегда была ему верна). Несколько сотрясений мозга за год. Постоянно угрожал мне и пугал, что навредит моей семье. Это был ад. Я боялась обращаться в полицию. Соседка однажды их вызвала, когда он устроил дебош в подъезде. Она хотела как лучше, но его отпустили, и он ещё больше озверел. Благодарна судьбе, что это закончилось. Ненавижу.

#Подслушано_жестокость@overhear"
444,"Становлюсь дико злой, придирчивой и раздражительной, когда меня одолевает голод. В последнее время очень много ненормированной работы. Иногда перерабатываю по 4-5 часов, все ""тормозки"" уже подъедены, соответственно, к концу дня злая как собака, а жрать хочу как Годзилла. Встречает меня мой благоверный, а я как бабка старая — всё мне не так и не то. Причём никаких конкретных претензий, просто бесит всё. Он молча заходит в магазин и покупает мне карпачо. Кто-то ""насосал на айфон"", а я заебала на карпачо.

#Подслушано_БЕСИТ@overhear"
445,"Мой папа военный. Когда я была маленькой, я почти не видела его, потому что он был целыми днями на работе. Я просто росла без отца при его наличии. Моя мама жила без мужа при его наличии. Сейчас мы живем очень хорошо, в достатке и благополучии. И как же бесят родственники, которые говорят нам: «Да у вас всё хорошо!» Да, у нас всё хорошо, но какой ценой? За всё хорошее и благополучное надо платить. Мы с нашей семьей заплатили сполна.

#Подслушано_семья@overhear"
446,"Я магнит для мужчин. Внешность стандартная, ничего такого. Но стоит им со мной пообщаться месяц-полтора — всё. При этом я не флиртую, не кокетничаю, вообще этого не умею делать. Свободные дамы уже завидуют? А вот не надо. У меня нет подруг, потому что их парни бросили их в надежде быть со мной. У мужа нет друзей, потому что все они пытались получить меня. И муж подаёт на развод, потому что я, по его мнению, ""блядища развратная"", раз меня так все хотят. Ох, не повод это для зависти.

#Подслушано_провал@overhear"
447,"Поражаюсь размышлениям: ""Выучу язык и свалю отсюдава"". Куда свалишь? Люди в родной среде никто, но почему-то думают добиться успеха в стране с другой культурой, верой, языком, менталитетом. Одно дело, когда получил оффер и поехал туда целенаправленно, а другое — ехать с мыслью: ""Вот тот блоггер уехал и счастлив"". Просто неудачники не ведут блогов. Истории неуспеха не покажут. И да, я работаю в международной компании и по офферу. И поражаюсь той легкомысленности, с которой рассуждают многие.

#Подслушано_наблюдения@overhear"
448,"Я женат несколько лет, но очень часто вспоминаю свою бывшую девушку. С ней мы познакомились в универе, будучи студентами, и встречались долгих 5 лет. ""В тихом омуте черти водятся"", — это точно было про неё. При людях она была очень милая и скромная, но когда мы оставались с ней одни, она становилась грязной извращенкой, которая постоянно приставала ко мне. Самое удивительное, что я был у неё первым во всём, и от этого у меня просто сносило крышу. Она хотела меня постоянно и везде, приставала ко мне под столом, когда я играл, или пока я спал, стаскивала с меня трусы и делала утренний минет. Ей нравилось дразнить меня, и долгие прелюдии, после которых я грубо брал её и драл несколько часов. Она ещё любила говорить, что сидит на ""белковой"" диете, поэтому каждый божий день я был опустошен, а мой желудок всегда набит вкусной едой. 
Много воды утекло с тех пор, и хоть сейчас я с другой, она надевает красивое белье и лежит в постели, как бревно, думая, что вся остальная работа на мне. Нет того страха быть застуканными кем-то, нет того безумия и непередаваемых ощущений, которые я испытал со своей первой любовью.

#Подслушано_пошлое@overhear"
449,"Работаю в офисе в полутора часах езды от дома. Как-то приключился со мной на работе внезапный понос, каждые 15 минут в туалет бегала, лило как из ведра. Разрекламированные таблетки не помогли. Я не знала, как добраться домой, потому что даже в такси я бы точно обосралась. Сидела в офисе до девяти вечера, но домой надо как-то ехать. Соорудила себе подгузник: взяла пакет для покупок, сделала в нём две прорези для ног, а внутрь положила две половые тряпки. Вызвала такси и доехала. Дома обнаружила, что засрала весь подгузник, но лучше уж так, чем могло бы быть.

#Подслушано_фууу@overhear"
450,"Уже несколько лет живу и работаю в Париже. На днях вечером возвращался домой и в транспорте слушал минут 30 разговор двух русскоговорящих проституток. Для себя понял две вещи: 
1) Нужно сдержаннее говорить по-русски, когда находишься за границей. 
2) Блин, как скучно я всё-таки живу…

#Подслушано_наблюдения@overhear"
451,"Хочу развестись с мужем. Сажусь разговаривать об этом с ним, решить, как поделить имущество и остаться приятелями, ведь у нас маленькая дочь. А он мне отвечает: ""Нет, развода ты не получишь, я без вас не смогу"". Он хороший человек, но абсолютно бесполезный: живёт у меня, заработка нет, с дочерью время проводит через раз, по хозяйству делает что-то с криками. При этом говорит, что очень нас любит и старается. Думаю, что разойтись по-хорошему всё-таки не получится, и я останусь тварью...

#Подслушано_семья@overhear"
452,"Пока был в армии, мама завела собаку — пекинеса. Классный пёс, умный, игривый. Пока мамы нет дома, я с ним играю, кормлю его, гуляю — всё для него. НО! Как только мама возвращается, пёс сразу перестаёт со мной хоть как-то контактировать и даже не подпускает меня к себе, рычит. Двуличный говнюк.

#Подслушано_собаки@overhear"
453,"У нас уже года три как есть Мишенька. Не сынок, не кот и не собака. Игрушка мягкая, она чуть больше ладони. Мы с ним разговариваем, вплетаем в разговоры между собой: ""Ты где, скоро домой? А то Мишка волнуется"". В некоторых несерьёзных ссорах он тоже аргумент: ""Я сейчас Мишке расскажу, он тебе быстро объяснит, как ты неправ!"" Понятно, что это не всерьёз. И понятно, что никто про него знать не должен. И нет, никакие фильмы я не смотрела, просто увидела эти маленькие глазёнки-пуговки в магазине и не удержалась, купила.

#Подслушано_дружба@overhear"
454,"Когда меня начинает бесить электронная техника, например, что-то зависает, неудобные программы и сайты, устройство не хочет подключаться к компьютеру, напоминаю себе, что без этого я считал бы на счётах, печатал бы на машинке, вписывая формулы от руки, фотоплёнку проявлял бы в ванной, покупал бы бумажные книги и грампластинки, ездил бы за ними в магазин и тому подобное. Да, техника могла бы быть и получше, но если рассуждать таким образом, то желание выбросить её в окно проходит.

#Подслушано_лайфхак@overhear"
455,"У парня есть подруга детства, которая спит исключительно с женатыми. Сейчас её любовник оплачивает ей квартиру, купил машину, параллельно с этим у него родился второй ребёнок. Была подписана на неё какое-то время, но так мерзко было от подписей на фото букетов: ""Спасибо, любимый"", — что отписалась. Парня моего это удивило, мол, чё такого. На мой вопрос, может, мне тоже найти любовника — щи ему готовить не надо, убирать не надо, квартиры и машины тебе обеспечат — обиделся."
456,"В 80-е мои родители оставляли мне ключ под половичком в коридоре. Однажды с подругой вернулась из школы, а ключа нет, дверь закрыта. Подруга зовёт в гости играть на пианино. Уже спустились на этаж, слышу — дверь открылась; я пулей назад, а дома родителей нет. Я по комнатам прошла, везде бардак, а из-под кровати мужские ботинки торчат. Я маленькая, не поняла, почему ботинки в спальне; подружка вернулась и всё равно обратно в гости зовёт. Согласилась. Благодарна ей, что спасла меня. Вор был в квартире.

#Подслушано_страшное@overhear"
457,"Муж — очень обеспеченный человек, я тоже из богатой семьи. Есть у него сын от первого брака, который всю жизнь жил как у Христа за пазухой. Гоняет на дорогой гоночной машине, подаренной отцом; живёт в элитной квартире, купленной специально для него. Даже на работу непыльную муж его устроил с зарплатой в пол-ляма. И вроде всё нормально, но он абсолютно не умеет ценить деньги. Может всю зарплату спустить за 10 дней, а потом звонить отцу и просить деньжат подкинуть. Разговоры не помогают.

#Подслушано_семья@overhear"
458,"Однажды, когда я пролежала в больнице пару недель, на меня нашло такое возбуждение, что я мастурбировала в палате, полной людей, под одеялом и с максимально каменным лицом.

#Подслушано_пошлое@overhear"
459,"Моего брата мама пускает только до девяти вечера гулять. Он думает, что мама за него боится, а я думаю, что мама боится за людей, ибо этот пятнадцатилетний двухметровый бугай способен напугать до чёртиков обычным ""извините"".

#Подслушано_семья@overhear"
460,"Каждый раз, когда у жены начинаются месячные, она звонит мне и просит после работы зайти в магазин и купить прокладки, мол, сама забыла. Во-первых, это ёбаный квест по их выбору. Во-вторых, у тебя каждый месяц практически в одно и то же время начинает течь. Неужели нельзя набрать их на год вперёд и пользоваться спокойно, не посвящая мужика в это дело? Может, я чего-то не понимаю?!

#Подслушано_БЕСИТ@overhear"
461,"Был в моей семье пёс, овчарка. Звали его Рекс. Прям как в кино. Я была мелкая и постоянно кидала в бедную собаку камни то ли из вредности, то ли из-за страха. В итоге пёс меня невзлюбил и даже укусил за руку. С того дня я его жуть как бояться начала, и мимо него без родителей я пройти даже не могла. Сдружились мы с ним, только когда он постарел. Стала его сама кормить, гладить и сидеть с ним в обнимку. Жалко, что по своей детской жестокости затравила пса и была долго без друга.

#Подслушано_собаки@overhear"
462,"Было мне лет шесть от силы. Не добежала буквально две минуты до туалета, так как была на улице. Собственно, обоссалась. Чтобы не упасть в грязь лицом перед соседями, упала жопой в лужу и вся в ней выпачкалась. Знатных пиздюлей получила, зато не опозорилась особо.

#Подслушано_детство@overhear"
463,"Шла с кухни, в руках была кастрюля с голубцами. Зацепилась петелькой для ремня за дверную ручку. В полёте думала, что больше жалко: ковёр или голубцы…

#Подслушано_провал@overhear"
464,"Не люблю заниматься энергичным сексом и никогда не смотрю порно со звуком, так как терпеть не могу эти хлопающие, чавкающие и шлёпающие звуки.

#Подслушано_пошлое@overhear"
465,"Всегда и во всех случаях, когда вижу пары, пытаюсь представить их секс: какие звуки они издают в процессе, выражения лиц, возможные их фантазии. Не могу спокойно смотреть на них, сразу в голове возникает куча вопросов, как именно они трахаются. И это касается и знакомых, и незнакомых пар, даже просто проходящих мимо. Особенно толстые вызывают это любопытство. Зачем мне это — ума не приложу.

#Подслушано_странное@overhear"
466,"Была у нас тема такая, как нулевые уроки, за час до первого урока. Зима, темно, школа деревенская, удобства на улице. Перед нулевым уроком с классом всегда приходили пораньше, чтобы поиграть в темноте. К концу урока заходит в кабинет директор с наездом на нас, что кто-то из наших наделал кучу возле каморки сторожа. В доказательство она привела то, что в это время только наш класс был в школе, и добавила, что потрогала и понюхала кучу — свежая.

#Подслушано_фууу@overhear"
467,"В детстве перед сном любила съедать кусочек чёрного хлеба в постели, медленно его разжёвывая. И сейчас, когда нервничаю и не могу уснуть, беру корку хлеба в постель и жую. Успокаивает. Словно возвращаешься в детство. Только хлеб раньше вкуснее был.

#Подслушано_детство@overhear"
468,"Как-то раз пошли мы с мамой за покупками. Купили землю для рассады, положили в сумку: увесистая и солидная с виду сумка получилась. Заходим в продуктовый, ""ценный"" груз стоит рядом на полу, и вот, затарившись продуктами, мы замечаем, что сумка тю-тю))) Эх, мне даже жалко стало неудачливого воришку!

#Подслушано_провал@overhear"
469,"Работаю водителем грузовой машины на заводе. По работе выезжаю за территорию, и со мной садится охранник в сопровождение. Мне охранников всегда жалко, особенно зимой, так как они всю смену на морозе. И эти полчаса, которые они едут со мной, они балдеют оттого, что в машине очень тепло. И я стараюсь ехать как можно медленнее, чтобы они подольше погрелись.

#Подслушано_добро@overhear"
470,"Конец 80-х, мне лет восемь-девять. Мы с сеструхой учились в разные смены. Однажды, пока она была в школе, я построил во дворе импровизированный прилавок и за два часа продал соседским детям все её игрушки. Потом огрёб, конечно, по самые помидоры. Но никогда не забуду то чувство, когда ты с корефаном в Луна-парке, и у тебя полный карман мелочи! Мы в тот день катались на всём до посинения))

#Подслушано_детство@overhear"
471,"У нас в доме матерятся крайне редко, и то когда конкретно кто-то споткнётся или что-то откуда-нибудь прилетит. После прогулок на улице мой четырёхлетний сын каждый день выдаёт новые матерные слова. Поговорили, объяснили, вроде понял. Лежим на диване вечером, сын тяжело вздыхает и говорит: ""Когда я уже вырасту? Так хочется иногда сказать ""сука"", ""блять""… Невозможно больше терпеть!"" — и столько грусти в словах.

#Подслушано_семья@overhear"
472,"Мне 22 года. Недавно я вновь стала старшей сестрой. Теперь нас пятеро детей в семье. Кажется, мама всерьёз восприняла мои слова, мол, что не надо ждать внуков от меня. Так сказать, сделала всё за меня :)

#Подслушано_семья@overhear"
473,"Ненавижу что-либо планировать, ненавижу это томительное чувство ожидания и почти гарантированный облом. Когда ты долго готовишься, намываешь квартиру, себя, думаешь о каждой мелочи, и всё срывается в последний момент. Зато когда ты выбегаешь из дома, еле успевая схватить куртку, то точно будет волшебный вечер! Теперь никогда не готовлюсь. Если получится — хорошо, не получится — я хотя бы не расстроюсь. Схема работает безотказно.

#Подслушано_лайфхак@overhear"
474,"Как-то ехала в маршрутке. Сзади стоял довольно симпатичный парень. Гляделки друг на друга, милые улыбочки и так далее. Вижу краем глаза, как он начинает из кармана какую-то бумажку доставать, рассматривает её, смял. Ну, думаю, да, наконец-то я как настоящая альфа-самка смогла закадрить пацана! Но когда я позже достала из капюшона свёрнутые фантики, то альфа-самкой я себя больше не чувствовала. А дурой — да, дурой чувствовала.

#Подслушано_провал@overhear"
475,"Недавно разочаровалась в отце. С детства очень люблю его, всегда его слушалась. Недавно из-за фигни поссорились. Не разговаривали недели две. Погиб мой молодой человек, у меня апатия чередуется с истерикой, мне больно, я не в себе. Папа не сказал мне ни слова утешения. Случайно услышала, как мама просит его поговорить со мной. Он в ответ: ""Она на меня ругается, а я её утешать должен?"" Собственные обиды и эго важнее чувств собственной дочери. Не знаю, как ему в глаза смотреть.

#Подслушано_семья@overhear"
476,"Часто вижу людей, у которых не складываются отношения. Причём по одной схеме. И частенько люди не на дружеской ноте расходятся. Но всё это происходит от полного непонимания того, на чём держится союз! На совместимости, бля. Вот нравится тебе человек физически, смешные шутки или ход мыслей симпатичен, но есть ещё совместное будущее, интеллект, интуитивная близость и дружба, взгляды на людей и жизнь. Люди не думают стратегически, а цепляются ""здесь и сейчас"", авось и дальше сложится. Глупо.

#Подслушано_наблюдения@overhear"
477,"Моему сыну 23 года. Стала замечать за ним странности. Месяц пыталась понять, что с ним происходит, потом он сам попросил у меня помощи. Он стал слышать голоса. На днях его увезли в больницу. Я себе места не нахожу… Боюсь услышать диагноз.

#Подслушано_страшное@overhear"
478,"В юности отказалась выйти замуж за своего тогдашнего парня, потому что не хотела быть женой военного. Хотелось оседлости, а не менять города. 
Участь эта всё равно настигла уже с нынешним мужем. Когда женились, он работал на одном из крупнейших предприятий в нашем городе, постоянно дополнительно обучался. Когда младшему сыну был год, мужу предложили должность в другом городе. Он меня уговорил, мы переехали, жили там какое-то время. Потом ему снова предложили повышение в другом городе, он снова согласился. Снова переезд. 
Теперь же мы вообще в другой стране СНГ, потому что мужу снова предложили повышение, куда дальше занесёт — неясно. И вроде живи да радуйся, но бесит, что муж соглашается и со мной даже не советуется: ""Если хотите — оставайтесь. Я поеду один, денег буду высылать, буду приезжать, а такие возможности терять нельзя"". Казалось бы, молодец, пробивается. Только вот мы меняем школы, у детей стресс, потому что на старых местах друзья остаются. Квартиры эти казённые, хоть и очень хорошие, но это же не моё. Меня ситуация не устраивает, но меня даже не слушают. Во всём остальном он идеальный муж, такого одного отправь в другой город — очередь выстроится. И терять его не хочу, но эта зацикленность на собственной карьере ужасно бесит.

#Подслушано_БЕСИТ@overhear"
479,"Никогда не было ни бабушек, ни дедушек, умерли все до моего рождения. Нянчилась со мной соседская бабка за деньги, пока не выяснилось, что у нее туберкулёз.

#Подслушано_чернуха@overhear"
480,"В 90-е подруга торговала всякой ерундой. Предложила трусы-плавки серые в полоску. Я с сомнением: 
— Мужские? 
— Ты что, мужские с гульфиком! 
Взяла под джинсы. Потом как-то уединились с приятелем из нашей компании... Ужас, на нём такие же, как на мне! 
— У Юльки брал? 
— Да, и уточнил ещё у неё, мол, женские? Ведь без гульфика! А она так убедительно: ""Ты что, женские серыми не бывают!"" 
Посмеялись тогда. Мы до сих пор лохи доверчивые, а Юлька — миллионер!

#Подслушано_успех@overhear"
481,"Подруга время от времени спит с бабником. Он красивый, по рассказам, хорошо трахается, но без денег, кобель. Я подругу отговариваю от таких ""отношений"", потому что нет будущего, а сама завидую. У меня такого красивого не было никогда. Все мои мужики, скорее, из разряда ""ну пусть будет, лучше, чем ничего"". Любовь была один раз, с придурком. Секс для здоровья тоже с обычными мужиками, не оборачиваются на них женщины на улицах. Середнячки, чтобы не было одиноко. А так хочется тоже смотреть на мужика с восхищением.

#Подслушано_зависть@overhear"
482,"В школе была плохая самооценка, поэтому регулярно проводила время за чтением книг. Где-то вычитала тогда, что можно заинтересовать людей, если постоянно развиваешься и узнаёшь что-то новое. Начала активно заниматься самообразованием в разных сферах, поступила на бюджет, окончила, стала психологом. И поняла, что мне теперь ещё труднее общаться с людьми, потому что стало банально скучно. Блять.

#Подслушано_провал@overhear"
483,"Иногда в моменты отчаяния мечтаю заболеть раком и потихоньку умирать. Знаю, что плохо думать об этом, но кажется, только это может научить ценить то, что есть сейчас, и начать радоваться жизни.

#Подслушано_страшное@overhear"
484,"Работаю преподом в универе и ещё пишу кандидатскую. 
У меня есть бабушка. Она живёт в небольшом городке. Отношения с ней хорошие. Она сказала, что, как её время придёт, оставит мне квартиру. Я этому рада, но как же меня сейчас начали бесить родственники, тётя и её сын, которые ни черта всю жизнь не делали, жили в общаге, только бухали, а теперь, видите ли, у них места мало жить. Бабуле голову задурили, ей теперь жалко их очень, и она передумала. ""Танюша (это я) сама всего добьётся!"" — их аргумент. Пиздец.

#Подслушано_алчность@overhear"
485,"Мама училась на зоотехника, в практику входила работа в селе. Досталась ей квартира на одном краю деревни, ферма же — на другом. Идти долго, но можно было срезать через кладбище, чем мама и пользовалась. Пять минут ходьбы, и ты на рабочем месте. Мой папа так с ней и познакомился. Друзья рассказали, что приехала странная девушка, которая не боится ночью ходить через кладбище. Он и пришёл посмотреть, кто это там такой бесстрашный. 
Последствия? 50 лет совместной жизни, и дочь — гот))

#Подслушано_любовь@overhear ❤"
486,"Развелась, живу с родителями и ребёнком. Работаю удалённо, смысла искать на полный день работу нет, зарабатываю больше, чем многие в городе, да и вакансий нет. Мама тоже дома — репетитор, ребенок в сад ещё не ходит. Постоянно дома люди. И так мне хочется иногда тишины. Через день говорю, что еду по делам, а сама еду к реке и целый час просто сижу рядом в тишине... 
Жду, когда хватит денег снимать своё жильё. Так хочется спокойствия. 

#Подслушано_мечты@overhear"
487,"Бесит, когда начальство на работе тебя не ценит! Я не жалуюсь на работу, я не жалуюсь на зарплату. Но крайне бесит тот факт, что овца, которая спала с сыном руководителя, работает с 9:30 до 12:00 и таскает свою маленькую дочь (три года) на работу, не может двух слов связать, и она — молодец! А меня лишают премии за ЕЁ косяки в работе, потому что не могла она накосячить, это я неправильно всё объяснила!

#Подслушано_БЕСИТ@overhear"
488,"Когда вижу людей, которые фотографируют друг друга, меня иногда посещает мысль: может быть, именно эта фотография пойдёт на памятник данному субъекту и будет находиться там оооочень долго?..

#Подслушано_чернуха@overhear"
489,"Он был старше меня на 17 лет, женат, есть взрослая дочь, она чуть младше меня. Гладил мои ножки во время разговора с женой по телефону, а потом трахал и дрожал от страсти. Обожал делать куни, мог делать это всегда и везде. Приводил к себе домой, когда жена улетала. Я пользовалась её косметикой, спала с ним в их постели, мы смотрели вместе порнуху, ели в кровати и всё время трахались: в машине, на капоте, в лесу, в отелях. Он знакомил меня с друзьями. Спустя годы до сих пор звонит мне на день рождения и говорит: ""Ты была лучшая!""

#Подслушано_пошлое@overhear"
490,"Работаю на дому, маникюр-педикюр, как сейчас модно, ""мастер ногтевого сервиса"". И вот была бы тоже рада иметь отдельный туалет во дворе для некоторых девушек, но увы… Работаю в студии. У меня есть две особенные, но постоянные и денежные клиентки. Одна ВСЕГДА перед уходом идёт в туалет и ВСЕГДА оставляет мне обоссанный стульчак; вторая — ВСЕГДА перед процедурой идёт в туалет, гадит и, не пользуясь туалетным ёршиком и освежителем, с сухими руками садится ко мне на маникюр.

#Подслушано_работа@overhear"
491,"Я алкоголик с 10-летним стажем, завязал ровно неделю назад. Не уверен, что не сорвусь, но я был приятно удивлён трезвым стилем жизни. За неделю я успел познакомиться с десятком интереснейших людей, один из них предложил поработать в его проекте; наконец-то проверил своё здоровье (ещё не всё потеряно); наклёвываются отношения с прекрасной девушкой. И это лишь неделя! Почему же люди, у которых нет пагубных привычек, не используют свои возможности, а упускают время точно так же, как я упустил 10 лет?!

#Подслушано_наблюдения@overhear"
492,"Раньше проституткой работала... Бросила. Но до сих пор в постели с мужиком думаю, как бы он скорей закончил. Напрочь душа омертвела.

#Подслушано_работа@overhear"
493,"Лето, каникулы, мне 10 лет. Начало 90-х. Решили с подругой прокатиться на великах, и вот я замечаю, что на дороге лежит что-то зелёное. Решила остановиться — кошелёк! Набитый деньгами, где-то 400 рублей по тем временам, почти две зарплаты! Вернулась домой, спрятала под подушку и отправилась дальше кататься. Прихожу домой, сразу к подушке, а денег нет... Оказалось, родители всё заметили и свистнули кошелёк. Даже спасибо не сказали своей добытчице)))

#Подслушано_детство@overhear"
494,"Познакомился с женщиной на сайте знакомств. Приехал на первое свидание на каршеринге, так как моя машина в ремонте. Дама, увидев машину, даже в ресторан не пошла, сказала: ""Не мой уровень"", — сморщив моську. Хотя сама работает воспитателем в детском саду и далеко не красавица.

#Подслушано_алчность@overhear"
495,"Я из тех женщин, которые прощают измены. Не представляю, как можно спать с одним человеком всю жизнь; считаю, что если человек тебя любит, но иногда ходит налево, то всё ок, это имеет более здравый смысл. Мой муж не знает об этом и считает измену предательством. Я всячески способствую его гулянкам, говорю снять комнату в отеле, если поздно, пойти в баре потусить до утра, даже если он изменит. Просто хочу, чтобы он понял мою точку зрения, не обиделся, и жить с ним дальше в любви и согласии."
496,"Замечала, что самые сильные откровения приходят ко мне во время мастурбации. Сначала были слёзы после оргазма — проанализировала, поняла, что мне всегда было одиноко; через год — что боюсь мужчин из-за прошлого; недавно ночью настолько расслабилась и была нежной с собой, что впервые почувствовала себя полноценной девушкой. Самое удивительное, что парни и мужчины это начали чувствовать и чаще обращать на меня внимание. Теперь подумываю об открытии курсов по исследованию себя через мастурбацию.

#Подслушано_пошлое@overhear"
497,"У меня есть две подруги. Обе замужем, впрочем, как и я. У одной муж пьёт, играет в игры, дома не помогает, но работает. У другой — пьёт, работает через раз, дома не помогает. А живём мы в сельской местности. Мой муж дома делает всё, пьёт, работает через раз. Итог: идём подавать на развод втроём. Надоело.

#Подслушано_семья@overhear"
498,"Школа с серебряной медалью, иду на красный диплом, работаю по специальности с 17 лет. Я красивая и успешная молодая девушка, за мной кто только не ухлёстывал. Но каждые выходные я еду на съёмную облезлую квартиру к парню из деревни и без перспектив на будущее, где готовлю борщи, а он меня жёстко берёт несколько раз в день. Сердцу не прикажешь.

#Подслушано_любовь@overhear ❤"
499,"Мы семья небогатая, но есть пара квартир, машин. У меня есть брат на 12 лет старше. Я ещё живу с родителями в квартире. Однажды он позвонил мне, и мы говорили часа два; в ходе разговора мои глаза вылезали из орбит. Брат говорил о том, как будем делить имущество, что боится он, что получит меньше, чем ""заслуживает"". Говорю, что это как родители решат. Нет, не отпускал меня и требовал сказать, на что я претендую, и убеждал уменьшить амбиции. Сука, я родителей люблю, им ещё жить и жить! Они заработали — они делят. Бесит.

#Подслушано_алчность@overhear"
